Miner_name,Type,Date,Year,Hashing power (Th/s),Hashing Power(Mh/s),Power (W),Efficiency(J/TH)
Intel Core i5-650,CPU,01/2009,2009,0,5.1,73,14313725.49
Nvidia GPU GTX 570 (overclocked),GPU,09/2010,2010,0.0002,155,372.8,2405161.29
Intel Core i7-990x (overclocked),CPU,02/2011,2011,0,33,224,6787878.788
Xilinx Spartan-6s,FPGA,06/2011,2011,0.0008,800,60,75000
X6500 FPGA Miner,FPGA,08/2011,2011,0.0004,400,17.2,43000
AMD GPU 7970 (overclocked),GPU,12/2011,2011,0.0007,675,374.5,554814.8148
Lancelot,FPGA,17/07/2012,2012,0.0004,400,26,65000
Avalon 1,ASIC,02/2013,2013,0.06,60000,595,9916.6667
Bitmain Antminer S1,ASIC,11/2013,2013,0.18,180000,360,2000
Bitmain Antminer S3,,07/2014,2014,0.478,478000,366,765.6904
Bitmain Antminer S5,,12/2014,2014,1.155,1155000,590,510.8225
Bitmain Antminer S7,S7,09/2015,2015,4.73,4730000,1293,273.3615
Bitmain Antminer S9 (11.5Th),S9,06/2016,2016,11.5,11500000,1127,98
Bitmain Antminer S7-LN,S7,06/2016,2016,2.7,2700000,697,258.1481
Bitmain Antminer R4,,02/2017,2017,8.7,8700000,845,97.1264
Bitmain Antminer S9 (12.5Th),S9,02/2017,2017,12.5,12500000,1225,98
Bitmain Antminer T9 (11.5Th),,04/2017,2017,11.5,11500000,1450,126.087
Canaan AvalonMiner 741,,04/2017,2017,7.3,7300000,1150,157.5342
Bitmain Antminer S9 (13Th),S9,07/2017,2017,13,13000000,1300,100
Bitmain Antminer T9 (12.5Th),,08/2017,2017,12.5,12500000,1576,126.08
Bitmain Antminer S9 (13.5Th),S9,09/2017,2017,13.5,13500000,1323,98
Pantech SX6,,09/2017,2017,8.5,8500000,1000,117.6471
Bitmain Antminer S9 (14Th),S9,11/2017,2017,14,14000000,1372,98
Bitfury B8,,12/2017,2017,49,49000000,6400,130.6122
Ebang Ebit E9+,,01/2018,2018,9,9000000,1300,144.4444
Bitmain Antminer T9+ (10.5Th),,01/2018,2018,10.5,10500000,1432,136.381
MicroBT Whatsminer M3,,01/2018,2018,12,12000000,2000,166.6667
Bitfily Snow Panther A1,,01/2018,2018,49,49000000,5400,110.2041
Pantech WX6,,01/2018,2018,34,34000000,5000,147.0588
Ebang Ebit E10,,02/2018,2018,18,18000000,1650,91.6667
Canaan AvalonMiner 821,,02/2018,2018,11.5,11500000,1200,104.3478
Bitmain Antminer V9 (4Th),,03/2018,2018,4,4000000,1027,256.75
MicroBT Whatsminer M3X,,03/2018,2018,12.5,12500000,2050,164
Halong Mining DragonMint T1,,04/2018,2018,16,16000000,1480,92.5
Canaan AvalonMiner 841,,04/2018,2018,13.6,13600000,1290,94.8529
ASICminer 8 Nano Pro,,05/2018,2018,76,76000000,4000,52.6316
Innosilicon T2 Terminator,,05/2018,2018,17.2,17200000,1570,91.2791
Bitmain Antminer S9i (14Th),S9,05/2018,2018,14,14000000,1320,94.2857
Bitmain Antminer S9i (13.5Th),S9,05/2018,2018,13.5,13500000,1310,97.037
Bitmain Antminer S9i (13Th),S9,05/2018,2018,13,13000000,1280,98.4615
Ebang Ebit E9.2,,05/2018,2018,12,12000000,1320,110
