,date,country,monthly_hashrate_%,monthly_absolute_hashrate_EH/S,Spend on electricity,Average electicity price,Electricity Used (kwh),Electricity Used (Twh)
0,2020-01-01,Mainland China,72.69,79.41,70114561.65215111,0.098,715454710.7362357,0.7154547107362358
1,2020-01-01,Russian Federation,6.05,6.6,5835645.8659446165,0.088,66314157.56755246,0.06631415756755246
2,2020-01-01,Other,5.56,6.08,5363006.779281334,0.137,39146034.88526521,0.03914603488526521
3,2020-01-01,Malaysia,4.13,4.52,3983672.3018762423,0.093,42835186.04168002,0.042835186041680025
4,2020-01-01,Kazakhstan,3.49,3.81,3366347.780520118,0.055,61206323.28218396,0.06120632328218396
5,2020-01-01,United States,3.44,3.76,3318119.3022891707,0.1042,31843755.30027995,0.03184375530027995
6,2020-01-01,"Iran, Islamic Rep.",0.32,3.5,308662.2606780624,0.004,77165565.1695156,0.0771655651695156
7,2020-01-01,Canada,1.06,1.16,1022443.7384960817,0.179,5711976.1927155405,0.00571197619271554
8,2020-01-01,Germany *,0.38,0.42,366536.4345551991,0.3216,1139727.719388057,0.001139727719388057
9,2020-01-01,Ireland *,0.0,0.0,0.0,0.213,0.0,0.0
10,2020-02-01,Mainland China,72.98,80.59,76283119.3471804,0.098,778399177.0120448,0.7783991770120448
11,2020-02-01,Russian Federation,5.56,6.14,5811648.993838353,0.088,66041465.8390722,0.0660414658390722
12,2020-02-01,Other,5.42,5.98,5665312.508381992,0.137,41352646.046583876,0.041352646046583875
13,2020-02-01,United States,4.54,5.02,4745483.171227721,0.1042,45542064.98299156,0.04554206498299156
14,2020-02-01,Malaysia,3.94,4.35,4118326.804986171,0.093,44283083.92458248,0.04428308392458248
15,2020-02-01,Kazakhstan,3.26,3.6,3407549.5899124155,0.055,61955447.089316644,0.06195544708931664
16,2020-02-01,"Iran, Islamic Rep.",3.01,3.32,3146234.4373117704,0.004,786558609.3279426,0.7865586093279426
17,2020-02-01,Canada,0.92,1.02,961639.761570375,0.179,5372289.170784218,0.005372289170784218
18,2020-02-01,Germany *,0.37,0.41,386746.4258489552,0.3216,1202569.732117398,0.0012025697321173979
19,2020-02-01,Ireland *,0.0,0.0,0.0,0.213,0.0,0.0
20,2020-03-01,Mainland China,67.06,71.65,50652785.62978525,0.098,516865159.48760456,0.5168651594876046
21,2020-03-01,United States,7.07,7.55,5340220.614413685,0.1042,51249717.98861502,0.05124971798861502
22,2020-03-01,Russian Federation,5.97,6.37,4509351.77765908,0.088,51242633.837035,0.051242633837035
23,2020-03-01,Kazakhstan,5.62,6.0,4244984.420509888,0.055,77181534.9183616,0.0771815349183616
24,2020-03-01,Other,5.42,5.79,4093917.359281778,0.137,29882608.461910784,0.029882608461910785
